Title,Abstract,True_LCSH,Predicted_LCSH,Replaced_Predictions,recall,precision,ndcg,semantic_similarity,num_predicted_labels
creativity in museum practice,"""with this book museum professionals can learn how to unleash creative potential throughout their institution drawing from a wide range of research on creativity as well as insights from today's most creative museum leaders, the authors present at a set of practical principles about how museum workers at any level--not just those in ""creative positions""--can make a place for creativity in their daily practice replete with creativity exercises and stories from the field, they guide readers in developing an internal culture of creative learning, as well as delivering increased value to museum audiences""-- provided by publisher",museum techniques; creative thinking,"museums, creative thinking, museum administration, museum management, learning, museums and education, museum audience, museum professionals","Museums,Creative thinking,Museum cooperation,Museum cooperation,Learning,Museums and schools,Museum attendance,Museum studies",0.50,0.14,0.50,0.73,7.00
feminist in a software lab : difference + design,"tara mcpherson asks what might it mean to design--from conception--digital tools and applications that emerge from contextual concerns of cultural theory and from a feminist concern for difference this question leads to the vectors lab, which for a dozen years has experimented with digital scholarship at the intersection of theory and praxis-- provided by publisher",digital humanities; computer software; scholarly electronic publishing; software engineering; computers and women,"Feminist theory, Information technology, Women in computer science, Design, Human-computer interaction, Cultural studies","Feminist theory,Information technology,Women in computer science,Design,Human-computer interaction,Cross-cultural studies",0.00,0.00,0.00,0.52,6.00
the etymologies of isidore of seville,"""this work is the first complete english translation of the latin etymologies of isidore, bishop of seville (c560-636) isidore compiled the work between c615 and the early 630s and it takes the form of an encyclopedia, arranged by subject matter it contains much lore of the late classical world beginning with the seven liberal arts, including rhetoric, and touches on thousands of topics ranging from the names of god, the terminology of the law, the technologies of fabrics, ships and agriculture to the names of cities and rivers, the theatrical arts, and cooking utensils isidore provides etymologies for most of the terms he explains, finding in the causes of words the underlying key to their meaning this book offers a highly readable translation of the twenty books of the etymologies, one of the most widely known texts for a thousand years from isidore's time""--provided by publisher","encyclopedias and dictionaries; latin language; didactic literature, latin (medieval and modern)","Etymology, Isidore of Seville, Encyclopedias and dictionaries, Classical civilization, Latin language, Rhetoric, Liberal arts, Terminology, Law, Technology, Agriculture, Names, Cities, Rivers, Performing arts, Cooking","Etymology,Calle Génova (Seville, Spain),Encyclopedias and dictionaries,Civilization, Classical,Latin language,Rhetoric,Arts, American,Terminology,Law,Technology,Agriculture,Names,Small cities,Rivers,Performing arts,Cooking",0.50,0.11,0.33,0.36,19.00
dk online encyclopedia,"there is a wealth of incredible facts and images online if only we know where to look this book combines the best of a traditional encyclopedia with a dedicated web site created by google, the world's leading search engine together they guide the reader to the most amazing sites the web has to offer",children's encyclopedias and dictionaries; computer network resources; homework,"encyclopedias, internet, world wide web, reference sources","Encyclopedias,Internet,World Wide Web,Reference sources",0.00,0.00,0.00,0.48,4.00
childcraft : the how and why library,"presents illustrated articles, stories, and poems, grouped thematically in fifteen volumes",children's encyclopedias and dictionaries,"children's literature, children's books, juvenile literature","Children's literature,Children's books,Juvenile literature",0.00,0.00,0.00,0.54,3.00
"frightlopedia : an encyclopedia of everything scary, creepy, and spine-chilling, from arachnids to zombies","""discover borneo's gomantong cave, where literally millions of bats, cockroaches, spiders, and rats coexist--in pitch darkness learn about mythical creatures like the mongolian death worm--and scarily real ones like killer bees, which were accidentally created by scientists in the 1950s visit new orleans' beauregard-keyes house, where civil war soldiers are said to still clash in the front hall plus ghost stories from around the world, a cross-cultural study of vampires, and how to transform into a zombie with makeup each entry includes a ""fright meter"" measurement from 1 to 3, because while being scared is fun, everyone has their limit""--amazon website",curiosities and wonders; ghost stories,"Spiders, Bats, Cockroaches, Rats, Mythology, Zombies, Vampires, Bees, Caves, Houses, Ghosts, Civil war, Supernatural, Folklore, Scary stories, Horror","Spiders,Bats,Cockroaches,Rats,Mythology,Zombies,Vampires,Bees,Caves,Small houses,Ghosts,Civil war,Supernatural,Folklore,Stories,Horror",0.00,0.00,0.00,0.40,16.00
facts & records : amazing achievements,"an illustrated compendium of facts about human achievements, from the development of the alphabet to the latest space probes",curiosities and wonders,"Achievements, Human, Records, Space exploration, Alphabet, History","Counting,Persons,Records,Exploration,Alphabet,History",0.00,0.00,0.00,0.18,6.00
"back to school : 1,001 facts you learned in high school","""in this book, you'll get a quick and comprehensive refresher course in all the basic fields of knowledge you studied in high school''-- back cover",education; encyclopedias and dictionaries,"high school education, secondary education","Education (Middle school),Education (Secondary)",0.00,0.00,0.00,0.74,2.00
it can't be true!,"""[this book] brings unbelievable facts to life with the help of 200 jaw-dropping visual comparisons across a wide range of subjects from outer space to the human body""--front jacket flap",curiosities and wonders; engineering,"Unbelievable facts, comparative studies, outer space, human body","Rumor,Comparative studies,Outer space,Human body",0.00,0.00,0.00,0.24,4.00
the objects of experience : transforming visitor-object encounters in museums,"""what if museums could harness the emotional and intellectual connections people have to personal and everyday objects to create richer visitor experiences? in this book, elizabeth wood and kiersten latham present the object knowledge framework, a tool for using objects to connect museum visitors to themselves, to others, and to their world they discuss the key concepts underpinning our lived experience of objects and how museums can learn from them then they walk readers through concrete methods for transforming visitor-object experiences, including exercises and strategies for teams developing exhibit themes, messages, and content, and participatory experiences""-- provided by publisher",museum exhibits; museum techniques,"museums, objects, museum visitors, emotional experience, intellectual experience, visitor experience, exhibit design, exhibit development, participatory exhibits, museum exhibits, museum education","Museums,Miniature objects,Museum visitors,Emotions,Intellectual life,Visitor surveys,Exhibit stands,Exhibit stands,Educational exhibits, Traveling,Museum exhibits,Schools of museum studies",0.50,0.09,0.33,0.53,11.00
one million things : a visual encyclopedia,"featuring gorgeous photographs that illustrate and educate, this visual encyclopedia is jam-packed with thousands and thousands of images that bring more than one million things to light",children's encyclopedias and dictionaries; curiosities and wonders; space; science; technology; art,"encyclopedias, visual works, reference sources","Encyclopedias,Visual learning,Reference sources",0.00,0.00,0.00,0.47,3.00
"famous first facts : a record of first happenings, discoveries, and inventions in american history","for more than half a century, famous first facts has earned the accolades of reviewers and a place on library reference shelves nationwide this new edition of the reference classic is updated and expanded with new entries reflecting the latest developments and discoveries, and newly organized for better access to information - amazon",encyclopedias and dictionaries,"Firsts, United States history, Reference sources, Inventors, Discoveries","Negatives,Founding Fathers of the United States,Reference sources,Inventors,Discoveries in science",0.00,0.00,0.00,0.21,5.00
oxford american children's encyclopedia,presents alphabetically arranged articles in nine volumes covering a wide range of human knowledge,children's encyclopedias and dictionaries,"encyclopedias, children's literature, reference works","Encyclopedias,Children's literature,Reference",0.00,0.00,0.00,0.49,3.00
crop circles,"""engaging images accompany information about crop circles the combination of high-interest subject matter and light text is intended for students in grades 3 through 7""--provided by publisher",crop circles,"Crop circles, Agricultural engineering, Folklore and myth, Mysterious phenomena, Youth literacy","Crop circles,Agricultural engineering,Folklore,Mesoscopic phenomena (Physics),Literacy",1.00,0.20,0.50,0.34,5.00
museum studies : an anthology of contexts,"""retaining the multidisciplinary focus of the critically acclaimed first edition, the new edition of museum studies: an anthology of contexts presents a comprehensive collection of approaches to museums and their relation to history, culture, and philosophy striking a careful balance between contemporary analysis and historical documentation, the new edition features primary and secondary texts spanning the course of some 200 years of museum history that reveal a wealth of insights into culture and society among the developments in twenty-first century museum scholarship featured in this new edition are issues of inclusion and exclusion, repatriation, indigenous models of collection and display, museums in an age of globalization, visitor studies, and interactive technologies a new section on relationships, interactions, and responsibilities focuses on the intersection of memory, history, ethics, and affect within the museum and beyond its walls with its expansive nature and multidisciplinary approach, museum studies solidifies its reputation as the primary resource for this important academic discipline""-- provided by publisher",museums; museums; museums; museums,"museum studies, museums, cultural property, repatriation, globalization, visitor studies, museum ethics, museum collections, cultural heritage, anthropology","Museum studies,Museums,Cultural property,Repatriation,Globalization,Visitor surveys,Theft from museums,Museum archives,Heritage tourism,Anthropology",1.00,0.10,0.36,0.53,10.00
the rise of the must-see exhibition : blockbusters in australian museums and galleries,"""blockbuster exhibitions are ubiquitous fixtures in the cultural calendars of major museums and galleries worldwide the rise of the must-see exhibition charts their ascent across a diverse array of museums and galleries the book positions these exhibits in the australian cultural context, demonstrating how policy developments and historical precedents have created a space for their current domination drawing on historical evidence, policy documents and contemporary debates, the book offers a complex analysis of the aims and motivations of blockbuster exhibitions its chronological approach reveals a genealogy of exhibits from the mid-nineteenth century onward to identify precursors to current practice this provides a foundation upon which to examine the unprecedented growth of blockbusters in the latter half of the twentieth century the examples discussed offer a unique opportunity to study how institutional growth, political support, individual champions and audience interest have influenced the development of large-scale temporary exhibitions the rise of the must-see exhibition considers blockbusters as an international phenomenon and as such is highly relevant to practitioners working across the cultural sector around the world the book will also appeal to academics and students engaged in the study of museums and galleries, arts management and curating, as well as those interested in the history of exhibitions and cultural policy""-- provided by publisher",museums; museum exhibits,museums; galleries; exhibitions; cultural policy; arts administration; art museums; art galleries; australian culture,Museums and Galleries Month,0.00,0.00,0.00,0.69,1.00
curatorial challenges : interdisciplinary perspectives on contemporary curating,"""curatorial challenges investigates the challenges faced by curators in contemporary society and explores which practices, ways of thinking, and types of knowledge production curating exhibitions could challenge bringing together international curators and researchers from the fields of art and cultural history, it provides new research and perspectives on the curatorial process and bridges the traditional gap between theoretical and academic museum studies and museum practices it should be of great interest to academics, researchers, and postgraduate students engaged in the study of curatorial practice, museum studies, the making of exhibitions, museum communication, and art history""-- provided by publisher",museums; museum exhibits,"museum curators, art museums, museum studies, curatorial practice, exhibitions, art history, cultural history, communication in museums","Museum curators,Art museums,Museum studies,Curatorship,Exhibitions,Art and history,History in popular culture,Communication in museums",0.00,0.00,0.00,0.71,8.00
