title,abstract,lcsh_subject_headings,predicted_LCSH,Replaced_Predictions,recall,precision,ndcg,semantic_similarity,num_predicted_labels
glorify the empire : japanese avant-garde propaganda in manchukuo,"""in the 1930s and '40s, japanese political architects of the manchukuo project in occupied northeast china realized the importance of using various cultural media to promote a modernization program in the region, as well as its expansion into other parts of asia ironically, the writers and artists chosen to spread this imperialist message had left-wing political roots in japan, where their work strongly favoured modernist, even avant-garde, styles of expression in glorify the empire, annika culver explores how these once anti-imperialist intellectuals produced modernist works celebrating the modernity of a fascist state and reflecting a complicated picture of complicity with, and ambivalence towards, japan's utopian project during the war, literary and artistic representations of manchuria accelerated, and the japanese-led culture in manchukuo served as a template for occupied areas in southeast asia a groundbreaking work, glorify the empire magnifies the intersection between politics and art in a rarely examined period in japanese history""--publisher's website","propaganda, japanese; arts; avant-garde (aesthetics); world war, 1939-1945; world war, 1939-1945; artists; propaganda in art","Manchukuo,Japanese literature,Fascism,Modernism (Art),Politics and art,Asia,Imperialism,Northeast China,Japanese history,Cultural history,Southeast Asia.,Propaganda,Avant-garde (Art movement),20th century","Manchu,Japanese literature,Fascism,Modernism (Art),Politics in art,Asia,Imperialism,China, Northwest,Chronology, Japanese,History in popular culture,Southeast Asia,Propaganda,Avant-garde (Aesthetics),20th century",0.38,0.19,0.74,0.57,16.00
"belonging to the nation : inclusion and exclusion in the polish-german borderlands, 1939-1951","""in 1939 nazi germany incorporated western poland into the reich and recognized germans with polish citizenship as volksdeutsche following germany's defeat in world war ii, soviet-dominated poland incorporated eastern germany, recognized german citizens of polish origin as members of the polish nation, and established a procedure for volksdeutsche to rejoin the nation my study focuses on the processes by which both states sought to nationalize these inhabitants of the transnational polish-german borderlands that in the imaginations of german and polish nationalists rightfully belonged to their nation the process of inclusion and exclusion that accompanies the formation of an imagined national community is often marginalized in discussions of the emergence of nations my goal is to illustrate the complexity of the process, the obstacles it confronts in practice, and the resulting injustices""--provided by publisher","nationalism; nationalism; germans; polish people; world war, 1939-1945; world war, 1939-1945","Borderlands,Post-communism,1939-1945,Nation-building,World War,Germany,Poland,Citizenship,Nationalism and politics.,Volksdeutsche,National identity,Imagined communities,Nationalism,Ethnic relations","Borderlands,Post-communism,1939-1945,Nation-building,World War III,Germany,Poland,Citizenship,Nationalism,Jesmond Dene,Identity,Planned communities,Nationalism,Ethnic relations",0.40,0.15,0.48,0.57,13.00
"the carpetbaggers of kabul and other american-afghan entanglements : intimate development, geopolitics, and the currency of gender and grief","the 2001 invasion of afghanistan by united states and coalition forces was followed by a flood of aid and development dollars and ""experts"" representing well over two thousand organizations--each with separate policy initiatives, geopolitical agendas, and socioeconomic interests this book examines the everyday actions of people associated with this international effort, with a special emphasis on small players: individuals and groups who charted alternative paths outside the existing networks of aid and development this focus highlights the complexities, complications, and contradictions at the intersection of the everyday and the geopolitical, showing how dominant geopolitical narratives influence daily life in places like afghanistan--and what happens when the goals of aid workers or the needs of aid recipients do not fit the narrative","afghan war, 2001-; postwar reconstruction; geopolitics","United States,Geopolitics,Development Economics,Intimacy,Afghanistan,Gender Identity,Military Assistance,Feminist Theory,Development Projects,Aid Workers,Coalition,International Relations,Conflict Resolution.,International Cooperation,Foreign Aid,Imperialism,Humanitarian Assistance,Cultural Anthropology,Non-governmental Organizations,Grief","United States,Geopolitics,Development economics,Intimacy (Psychology),Afghanistan,Gender identity,Military assistance,Feminist theory,Research and development projects,Humanitarian aid workers,Coalitions,International relations,Conflicts,International cooperation,International relief,Imperialism,Humanitarian assistance,Anthropology,Non-governmental organizations,Grief",0.25,0.05,0.39,0.38,20.00
"figures, facts, feelings : a direct diasporic dialogue",contributed articles and photographs parthiv shah's exhibition of photographs with texts of indians living in the uk interspersed with contributed articles commenting on the photos and the indian diaspora,east indians; east indians; east indian diaspora,"Great Britain.,British Indian diaspora,Identity (Psychology),Community,Social aspects,Indians,Human culture,Photography,Immigration and emigration,Diaspora,Exhibitions,Indian diaspora","Great Britain,East Indian diaspora,Identity (Psychology),Community life,Social aspects,Indians,Self-culture,Photography,Emigration and immigration,Igbo diaspora,Exhibitions,East Indian diaspora",0.50,0.09,1.00,0.40,11.00
fatal colours : towton 1461--england's most brutal battle,"a fellow of the royal society of arts chronicles the ferocious and brutal battle of towton in 1461, long considered the longest and bloodiest battle on english soil, and describes the surrounding events of 15th-century british history","towton, battle of, towton, england, 1461","Medieval,York,1461,Battlefields,England,History,House of Lancaster,House of York,1399-1461","Middle Ages,New York,To 1463,Battlefields,England,History,Lancaster, House of,York, House of,1399-1485",0.25,0.10,0.43,0.52,10.00
"cities and the grand tour : the british in italy, c1690-1820","""how did eighteenth-century travellers experience, describe and represent the urban environments they encountered as they made the grand tour? this fascinating book focuses on the changing responses of the british to the cities of florence, rome, naples and venice, during a period of unprecedented urbanisation at home drawing on a wide range of unpublished material, including travel accounts written by women, rosemary sweet explores how travel literature helped to create and perpetuate the image of a city; what the different meanings and imaginative associations attached to these cities were; and how the contrasting descriptions of each of these cities reflected the travellers' own attitudes to urbanism more broadly, the book explores the construction and performance of personal, gender and national identities, and the shift in cultural values away from neo-classicism towards medievalism and the gothic, which is central to our understanding of eighteenth-century culture and the transition to modernity""-- provided by publisher","british; travelers; travelers' writings, british; british","Urbanization,Italy,Cultural values,Medievalism,National characteristics,Great Britain,Identity (Psychology),Women travelers,Grand tours,British,Eighteenth century.,Cities and towns,Travel literature,Gothic revival,Travelers,Neo-Classicism,Modernity","Urbanization,Italy,Cultural awareness,Medievalism,National characteristics,Great Britain,Identity (Psychology),Women travelers,Grand tours (Education),British,Eighteenth century,Cities and towns,Travel in literature,Gothic revival (Art),Travelers,Classicism,Post-modern . . .",0.67,0.12,0.32,0.44,17.00
"medieval archaeology in scandinavia and beyond : history, trends and tomorrow","""this book presents, in twenty international papers, the origins and development, and some of the main characteristics and diversities, of the academic discipline of medieval - and later - archaeology in a number of countries in northern europe denmark is the main focus, together with the four other scandinavian countries, the faroes and greenland the book also provides an insight into some of the discipline's major achievements and fascinating discoveries in these parts of the world, as well as into some of the current research agendas, with their new perspectives, including developments towards the inclusion of the archaeology of more recent periods the book is based on the proceedings of a conference held to celebrate 40 years of medieval archaeology as a university discipline in denmark - one of the first countries to have a chair of medieval archaeology, established at aarhus university, in 1971"" --back cover","archaeology, medieval","Northern Europe,Greenland,Trends,Celebrations,Medieval history,Archaeology,Denmark,European history.,Faroe Islands,Scandinavia,History,University history,Chairs,Sweden,Iceland,Academic discipline,Conferences,University chairs,Medieval archaeology,Research agenda,Norway,Aarhus University","Europe, Northern,Greenland,Popularity,Celebration,Middle Ages,Archaeology,Denmark,Europe 1992,Faroe Islands,Scandinavia,History,History students,Chairs,Sweden,Iceland,College discipline,Press conferences,Chairs,Archaeology, Medieval,Action research,Norway,Teachers' institutes",1.00,0.09,0.77,0.42,22.00
"battle stars for the ""cactus navy"" : america's fishing vessels and yachts in world war ii","""following pearl harbor, the navy obtained 700 vessels from private owners, armed them, designated them patrol yachts or patrol craft, and sent them to sea the vessels spanned the spectrum from yacht to waterfront work-horse -- fishing vessel, whaler, tug, and freighter san diego tuna fishermen donned navy uniforms without the benefit of ""boot camp"" training and went off to war they were joined by fishermen and yachtsmen from ports and harbors accross america vessels at guadalcanal, saipan, okinawa, iwo jima, leyte, and balikpapan earned battle stars; officers and men aboard them received the navy cross, and other awards for acts of heroism performed under fire all of the unheralded vessels served when called, and mustered out when no longer needed""--back cover","world war, 1939-1945; yachts; fishing boats; world war, 1939-1945; world war, 1939-1945; yachts; fishing boats; warships","United States,San Diego,Pacific Area,Okinawa,Military operations,American,Awards,Guadalcanal,California,Heroes,Balikpapan,History,civilian,Naval history,World War,Merchant marine,Military participation,1939-1945,War effort,Fishing vessels,Naval operations,Naval personnel,Iwo Jima,Yachts,Marine resources,United States. Navy,Saipan,Leyte,Medals","United States,San Diego,Pacific Area,Okinawan . . .,Operations other than war,American,Awards,Guadalcanal,California,Heroes,Rekoa,History,Civilian employees,Naval history,World War III,Merchant marine,Military socialization,1939-1945,War use,Fishing ports,Naval operations,Naval career,Inu Jima (Okayama-ken),Yachts,Marine resources,United States. Navy,Saiō,Leyte Island,Medals",0.40,0.07,0.27,0.48,29.00
golda meir,"""presents the biography of golda meir against the backdrop of her political, historical, and cultural environment""--provided by publisher",women prime ministers; prime ministers,"Women Heads of State,Politicians,Biography,Women in politics,Zionism,Golda Meir,Biographers,Prime ministers,Israel,Jewish women","Women heads of state,Politicians,Biography,Women politicians,Zionism,Moria,Biographers,Prime ministers,Israel,Jewish women",0.50,0.10,0.63,0.47,10.00
the specter of the jews : emperor julian and the rhetoric of ethnicity in syrian antioch,"""in the generation after constantine the great elevated christianity to a dominant position in the roman empire, his nephew, the emperor julian, sought to reinstate the old gods to their former place of prominence--in the face of intense opposition from the newly powerful christian church in early 363 ce, while living in syrian antioch, julian redoubled his efforts to hellenize the roman empire by turning to an unlikely source: the jews with a war against persia on the horizon, julian thought it crucial that all romans propitiate the true gods and gain their favor through proper practice to convince his people, he drew on jews, whom he characterized as judeans, using their scriptures, practices, and heroes as sources for his program and models to emulate in the specter of the jews, ari finkelstein examines julian's writings and views on jews as judeans, a venerable group whose religious practices and values would help delegitimize christianity and, surprisingly, shape a new imperial hellenic pagan identity""--provided by publisher",jews,"361-363,Christianity and other religions,Identity (Psychology),Imperialism,Judaism,306-337,Roman Empire,Jews,Antioch (Roman province),Roman,Religious pluralism,Hellenism,Ethnicity,Emperor Julian","392-814,Christianity and other religions,Identity (Psychology),Imperialism,Judaism,306-363,Romans,Jews,Antioch in Pisidia (Extinct city),Roman,Religious pluralism,Hellenism,Ethnicity,Julian, 361-363",1.00,0.07,0.39,0.37,15.00
transcultural encounters between germany and india : kindred spirits in the nineteenth and twentieith centuries,"""providing a comprehensive survey of cutting edge scholarship in the field of german-indian and south asian studies, transcultural encounters between germany and india looks at the history of german-indian relations in the spheres of culture, politics, and intellectual life combining transnational, post-colonial, and comparative approaches, the book first examines the ways in which nineteenth century ""indomania"" figured in the creation of both german national identity and modern german scholarship on the orient, illustrating how german encounters with india in the imperial era alternately destabilized and reinforced the orientalist, capitalist, and nationalist underpinnings of german modernity moving into the twentieth century, contributors discuss the full range of german responses to india as well as south asian perceptions of germany against the backdrop of war and socio-political revolution, including the third reich's ambivalent perceptions of india in the context of racism, religion, and occultism the book concludes by exploring german-indian relations in the era of decolonization and the cold war employing a diverse array of interdisciplinary approaches to understanding german-indian encounters over the past two centuries, this book is of interest to students and scholars of germany, india, europe and asia, as well as history, political science, anthropology, philosophy, comparative literature, and religious studies""-- provided by publisher",orientalism; learning and scholarship; learning and scholarship; learning and scholarship; learning and scholarship,"Cultural relations,Anthropology,Transculturalism,Comparative literature,Cold War,Postcolonialism,Asian history.,German literature,History,Religious studies,Nationalism,Transnationalism,Germany,Philosophy,Decolonization,German studies,German-Indian relations,India,South Asian history,South Asian studies,Indian literature,Imperialism,Indo-German relations,European history,Orientalism,Politics and culture","Cultural relations,Anthropology,Biculturalism,Comparative literature,Cold War,Postcolonialism,Chronology, Oriental,German literature,History,Religion and the social sciences,Nationalism,Transnationalism,Germany,Philosophy,Decolonization,German philology,Relations with Germans,India,Chronology, Oriental,South Asian influences,Indian literature,Imperialism,Influence on Indo-European,Europe 1992,Orientalism,Politics and culture",0.50,0.04,0.26,0.43,26.00
"peter paul galligan : ""one of the most dangerous men in the rebel movement""","the stories of the leading figures of the irish revolution -- michael collins, eamon de valera, and guerrillas like tom barry and ernie o'malley -- have been well told but many other senior-ranking activists were equally committed however, their experience remains obscure to most people what was it like to try to launch the easter rising in a provincial town outside dublin? what happened to the volunteers imprisoned after the rising in maximum security prisons? how did counties such as cavan and wexford experience the revolution? this look at the life of peter paul galligan throws light on these issues peter paul galligan joined the irish republican brotherhood in 1910 and the irish volunteers in 1913 in 1916 he helped lead the easter rising in enniscorthy on the rebels' surrender he was imprisoned in the harshest of conditions in dartmoor prison -- forbidden to speak to other prisoners and reduced at times to a diet of bread and water galligan's story also shows the experience of the war of independence on the ground in his native cavan dublin castle file refers to him as ""one of the most dangerous men in the rebel movement"" as a member of dáil éireann, galligan voted for the treaty but also voted two days later for eamon de valera as president in the ensuing civil war, he stayed neutral but was in contact with the anti-treaty commanders this is a fascinating story of a little known but significant contributor to irish history",revolutionaries,"Irish Volunteers,Irish Republican Brotherhood,Prisoners of war,Cavan (Ireland),Guerrilla warfare,De Valera,Dáil Éireann,Ireland,Galligan,Treaty of Anglo-Irish Relations,Biographies,1919-1921,Wexford (Ireland),1916,Enniscorthy (Ireland),Dartmoor Prison (England),Peter Paul,Rebels,Éamon,1921","Irish regiments,Irish Republican Army,Prisoners of war,Dún Caocháin (Ireland),Guerrilla warfare,Belvoir, Vale of,Paps of Anu (Ireland),Ireland,Ponera,Irish unification question,Biographical fiction,1919-1947,Belfast (Northern Ireland),1884-1916,Inishmurray (Ireland),Dartmoor Massacre, Princetown, England, 1815,Peter (Name),Rogues and vagabonds,Hrê,1921-",0.00,0.00,0.00,0.23,24.00
safehaven : the allied pursuit of nazi assets abroad,"""a detailed study of the development and collapse of the safehaven program initiated by the federal economic administration, advocated by treasury secretary henry morgenthau, and reluctantly supported by britain and france that focused on averting post-world war ii german aggression by investigating and confiscating german assets in neutral countries""--provided by publisher","world war, 1939-1945; german property","Neutral countries,1939-1945,Great Britain,Economic sanctions,Federal Economic Administration,Germany,Safehaven Program,France,Morgenthau,1891-1967,World War,Henry,Allied powers","Group of Seven countries,1939-1945,Great Britain,Economic sanctions,Federal government,Germany,Dorket Head Site,France,Dahdayla,1891-1975,World War III,Henry (Dog),Operation Allied Force, 1999",0.33,0.07,0.29,0.43,14.00
"military affairs in russia's great war and revolution, 1914-22","""this multi-author collection of essays analyzes a wide variety of military experiences in russia's first world war and to a lesser extent the russian civil war""--provided by publsher","world war, 1914-1918; world war, 1914-1918","1917-1921,Russian Civil War,History,1914-1918,World War,Military history,20th century,Russia","1917-1921,Swedish-Russian War . . .,History,1914-1918,World War III,Military history,20th century,Russia",0.50,0.12,0.43,0.65,8.00
border : a journey to the edge of europe,"""in this extraordinary work of narrative reportage, kapka kassabova returns to bulgaria, from where she emigrated as a girl twenty-five years previously, to explore the border it shares with turkey and greece when she was a child, the border zone was rumored to be an easier crossing point into the west than the berlin wall, and it swarmed with soldiers and spies on holidays in the ""red riviera"" on the black sea, she remembers playing on the beach only miles from a bristling electrified fence whose barbs pointed inward toward the enemy: the citizens of the totalitarian regime kassabova discovers a place that has been shaped by successive forces of history: the soviet and ottoman empires, and, older still, myth and legend her exquisite portraits of fire walkers, smugglers, treasure hunters, botanists, and border guards populate the book there are also the ragged men and women who have walked across turkey from syria and iraq but there seem to be nonhuman forces at work here too: this densely forested landscape is rich with curative springs and thracian tombs, and the tug of the ancient world, of circular time and animism, is never far off""--amazoncom",borderlands; borderlands; borderlands; borderlands,"Ottoman Empire,Mythology,Anthropology,Legends,Oral Tradition,Immigration Law,Turkey,Travel Writing.,Border Control,Borderlands,Oral History,Europe,History,Refugees,Soviet Union,Greece,Migration,Politics and Government,Bulgaria,Botany,Ethnographic Methodology,Ethnology","Ottomanism,Mythology,Anthropology,Legends,Oral tradition,Immigration courts,Turkey,Travel writing,Border security,Borderlands,Oral history,Europe,History,Refugees,Soviet Union,Greece,Migration,Politics and government,Bulgaria,Botany,Communication in ethnology,Ethnology",1.00,0.05,0.39,0.27,22.00
ending south sudan's civil war,"""following its independence in 2011, three years of civil war have left south sudan on the cusp of full-scale genocide, with its sovereignty discredited by warring elites, asserts a new council special report, ending south sudan's civil war 'the only remaining path to protect [south sudan's] sovereignty and territorial integrity, restore its legitimacy, and politically empower its citizens is through an international transitional administration, established by the united nations and the african union (au), to run the country for a finite period,' argues katherine almquist knopf, the author of the report knopf makes the case that an international transitional administration is the only realistic path to end the violence and to allow south sudan the kind of 'clean break' from its leaders and power structures that can restore the country to viability moreover, she argues that an international transitional administration would not necessitate an investment costlier than what the united states is already spending -- more than $2 billion since 2013 (and more than $11 billion since 2005) the report recommends the united nations and the au lead a transitional administration with an executive mandate for ten to fifteen years to maintain the country's territorial integrity, provide basic governance and public services, rebuild the shattered economy, and establish the political and constitutional framework for the transition to full sovereignty""--publisher's web site",civil war; war; interim governments,"Humanitarian assistance,Governance,Transitional administration,Genocide,African Union,Public services,International relations,Constitutional framework,International cooperation,Civil War,South Sudan,Political empowerment,Sovereignty,United Nations,Economic development,Legitimacy,Territorial integrity,Peacebuilding.,Conflict resolution","Humanitarian assistance,Policy, Government,Right to good administration,Genocide,Free State (South Africa),Public services,International relations,Constitution (Philosophy),International cooperation,Civil war,South Sudan,Political participation,Sovereignty,United Nations,Economic development,Validity,Territoriality,Peace movements,Conflict management",0.33,0.05,0.23,0.43,20.00
becoming queen victoria : the tragic death of princess charlotte and the unexpected rise of britain's greatest monarch,"from the acclaimed author of ""england's mistress"" comes a smart, gripping account of the rise to the throne and the early life of queen victoria, and the tragic, little-known story of princess charlotte, the queen who never was",princesses; queens,"Biography,Queen of Great Britain,Charlotte,History,British Royal Family,Victoria,Princess of Wales,1819-1901,1796-1817,Succession","Biography,Baddesley Clinton (England),Charlotte (N.C.),History,Royal family,Victoria,Princesses of Wales,1819-1950,1809-1817,Succession",0.00,0.00,0.00,0.37,10.00
the hellenistic world : using coins as sources,"""coinage is one of our key sources for the rich and fascinating history of the hellenistic world (323-31 bc) this book provides students of the period with an up-to-date introduction to hellenistic gold, silver and bronze coins in their cultural and economic contexts it also offers new perspectives on four major themes in contemporary hellenistic history: globalisation, identity, political economy and ideology with more than 250 illustrations, and written in a lucid and accessible style, this book sheds new light on the diverse and multicultural societies of the hellenistic world, from alexander to augustus the author assumes no prior knowledge of hellenistic history, and all greek and latin texts are translated throughout""-- provided by publisher","hellenism; coins, greek; coinage; globalization; group identity","Coins,Greece,Political economy,Ideology,Augustus,Cultural context,Globalization,Identity (Philosophy),Roman Empire,Multiculturalism,History,Numismatics,Economic history,Alexander the Great,Hellenistic period","Coins,Greece,Political entrepreneurship,Ideology,Augustus, 30 B.C.-14 A.D,Cultural awareness,Globalization,Identity (Philosophical concept),Romans,Multiculturalism,History,Numismatics,Economic history,Severus Alexander, 222-235,Goldwork, Hellenistic",0.33,0.11,0.54,0.48,18.00
"women and politeness in eighteenth-century england : bodies, identities, and power","""this first in-depth study of women's politeness examines the complex relationship individuals had with the discursive ideals of polite femininity contextualising women's autobiographical writings (journals and letters) with a wide range of eighteenth-century printed didactic material, it analyses the tensions between politeness discourse which aimed to regulate acceptable feminine identities, and women's possibilities to resist this disciplinary regime ylivuori focuses on the central role the female body played as both the means through which individuals actively fashioned themselves as polite and feminine, and the supposedly truthful expression of their inner status of polite femininity""-- provided by publisher",women; courtesy,"Body image,Femininity,English,Feminist theory,Didactic literature,Identity (Psychology),18th century,England,Women's studies,Autobiography,Women,Power (Social sciences),Politeness","Body image,Femininity,English,Feminist theory,Didactic literature,Identity (Psychology),18th century,England,Women's studies,Autobiography,Women,Power (Social sciences),Polites",0.50,0.08,0.28,0.39,13.00
honor and remembrance : a lifetime of service to our country and community,"""honor and remembrance includes: the 66-year history of the vfw post 6633 eleftheria's successes and heartbreaks; the military experiences of our veterans with photos including 96 narratives and 56 summaries; narratives of honorary members who died in service of our nation; stories and photos of the men and women who built the eleftheria post; brief histories of the nation's wars; honor and remembrance lists its deceased members and those who also served; short history of the wwii greek battalion; impact of wwii on the lives of people back home; eleftheria's support to the hellenic-american community and area greek orthodox churches""--dust jacket","veterans; greek americans; soldiers; afghan war, 2001-; iraq war, 2003-2011","Veterans,United States,VFW Post 6633 (Organization),Greek Orthodox Church,Greek Americans,Country,American communities,History,Commemoration,Ethnic relations,World War,Memorial services,Ethnic groups,Hellenic Americans,Honor,1939-1945,Community life,Remembrance Day,Community history,Military history,Military biography,Patriotism,Local history","Veterans,United States,Veteran-owned business enterprises,Orthodox Eastern Church,Greek Americans,Country,Communities,History,Commemoration,Ethnic relations,World War III,Memorial services,Ethnic groups,Greek Americans,Honor,1939-1945,Community life,Remembrance Sunday,Social history,Military history,Military biography,Patriotism,Local history",0.29,0.09,0.42,0.47,22.00
doing oral history,"""doing oral history is considered the premier guidebook to oral history, used by professional oral historians, public historians, archivists, and genealogists as a core text in college courses and throughout the public history community this new, third edition thoroughly covers recent developments in digital audio and video recording technology, which have significantly altered the practice of oral history, making it easier both to produce and to disseminate quality recordings at the same time, digital technology has complicated the preservation of the recordings, past and present this basic manual offers detailed advice for setting up an oral history project, conducting interviews and using oral history for research, making video recordings, preserving oral history collections in archives and libraries, and teaching and presenting oral history""-- provided by publisher",oral history; oral history; historiography,"Libraries,Video recording,Digital preservation,Research,Genealogists,Audio recording,Methodology.,History,Archivists,Oral history,Public historians,Education,Archives,Oral historians","Libraries,Video recording,Digital preservation,Research,Genealogists,Sound recordings,Methodology,History,Archivists,Oral history,Public historians,Education,Archives,Oral history",0.50,0.08,0.26,0.46,13.00
"us leadership, history, and bilateral relations in northeast asia","""this book explores the rising importance of history in reshaping international relations in northeast asia""-- provided by publisher ""whereas most discussions of history have centered on the rift between china and japan, this book focuses on three other divisions stemming from deep-seated memories within northern asia, which increasingly will test us diplomacy and academic analysis the first division involves long-suppressed japanese and south korean memories that are critical of us behavior -- concerning issues such as the atomic bombings, the tokyo tribunal, and the korean war how should the united states respond as these memories come out into the open, complicating vital bilateral alliances? the second division is the enduring disagreement between japan and south korea over history what can the united states do to invigorate urgently needed trilateral ties? the third and most important division is the revival of a sinocentric worldview, which foretells a struggle between china and other countries concerning history, one that has already begun in china's dispute with south korea and is likely to implicate the united states above all presenting three perspectives on each theme, the book launches a multi-sided discussion of the importance of history in international relations""-- provided by publisher",collective memory,"Foreign Policy Analysis,Sinocentrism,United States-South Korea Relations,Atomic Bombings,Korean War,United States Foreign Relations,Asian Politics.,International Diplomacy,Diplomacy,History,Bilateral Relations,Nationalism,Historical Memory,China-South Korea Relations,Worldview,Trilateral Relations,International Relations,Japan-South Korea Relations,Northeast Asia,Asian History,Tokyo Tribunal,China-Japan Relations,East Asian Studies,United States-Japan Relations","Protection of interests (International relations),Calendar, Chinese,Relations with Korean Americans,Atomic bomb,Korean War, 1950-1953,Foreign relations,Participation, East Asian,Diplomacy,Diplomacy,History,Intersubjectivity,Nationalism,Historicity,South Asian cooperation,Worldliness,Diplomatic negotiations in international disputes,International relations,Korean reunification question (1945- ),East Asia,Chronology, Oriental,Oumu Shinrikyō Trial, Tokyo, Japan, 1996,Sino-Japanese Conflict, 1931-1933,East Asian influences,Relations with Japanese",0.00,0.00,0.00,0.19,31.00
expeditionary culture field guide algeria,"""this guide is designed to help prepare you for deployment to culturally complex environments and successfully achieve mission objectives the guide consists of two parts: part 1 introduces ""culture general,"" the foundational knowledge you need to operate effectively in any global environment 2: presents ""culture specific"" algeria, focusing on unique cultural features of algerian society and is designed to complement other pre-deployment training""--p [2] of cover","cultural awareness; national characteristics, algerian","Culture,International relations,Cultural intelligence,Globalization,Cultural competence,Predeployment training,Algeria,Cross-cultural studies,Expeditionary forces,Military planning,Field manuals.","Culture,International relations,Cultural intelligence,Globalization,Cultural competence,Educational leave,Algeria,Cross-cultural studies,Peacekeeping forces,Military planning,Training manuals",0.00,0.00,0.00,0.45,11.00
a very expensive poison : the assassination of alexander litvinenko and putin's war with the west,"on november 1, 2006, journalist and russian dissident alexander litvinenko was poisoned in london he died twenty-two days later the cause of death? polonium--a rare, lethal, and highly radioactive substance here luke harding unspools a real-life political assassination story--complete with kgb, cia, mi6, and russian mobsters he shows how litvinenko's murder foreshadowed the killings of other kremlin critics, from washington, dc, to moscow, and how these are tied to russia's current misadventures in ukraine and syria in doing so, he becomes a target himself and unearths a chain of corruption and death leading straight to vladimir putin from his investigations of the downing of flight mh17 to the panama papers, harding sheds a terrifying light on russia's fracturing relationship with the west",dissenters; spies; poisoning; political crimes and offenses; murder; intelligence officers; radiation victims,"Government Corruption,Espionage,Western Countries,Ukraine,MI6,Political Dissent,Intelligence Service,Litvinenko,Foreign Relations,Eurasia.,Eastern Europe,Political Assassinations,Russian Foreign Relations,Corruption,Panama Papers,Syria,Russia,Vladimir,International Relations,CIA,Political Assassination,MH17 Airliner Crash,Eurasia,Politics and Government,Putin,KGB,Assassination,2014,Russian Politics and Government,Political Corruption,Alexander,Dissenters","Political corruption,Espionage,Western countries,Ukraine,Dolops,Dissenting opinions,Intelligence service,Russian desman,Foreign relations,Eurasia,Europe, Eastern,Assassination,Influence on Russian,Corruption,Diplomatic and consular service, Panamanian,Syria,Russia,Vladimirka,International relations,Espionage, American,Assassination,TWA Flight 800 Crash, 1996,Eurasia,Politics and government,Espionage, Russian,Espionage, Russian,Assassination,2014-,Political plays, Russian,Political corruption,Severus Alexander, 222-235,Dissenters",0.14,0.03,1.00,0.40,31.00
practicing history : new directions in historical writing after the linguistic turn,"""gabrielle spiegel presents an essential new collection of key articles that examine the current status of the debate over the 'linguistic turn', and attempt to rethink the practice of history in light of its implications these are writings that operate within the framework of the linguistic turn, yet seek to move beyond its initial formulation and reception the volume offers a synoptic overview of the last twenty-five years of theoretical analysis of historical writing, with a critical examination of the key concepts and positions that have been in debate this collection delineates the emergence of a new 'practice theory' as a possible paradigm for future historical interpretation concerned with questions of agency, experience and the subject articles drawn from a mix of critical thinkers and practicing historians are drawn together along with clear and thorough editorial material complex ideas at the forefront of historical practice are revealed and made accessible to students, while for their teachers and other historians this new survey is an indispensable and timely read""--provided by publisher",historiography; language and history; writing,"Agency,Historiographical debate,Historians,Human experience,Historical writing,Historiography,Critical thinking,History,Practice theory,Historical interpretation,Subjectivity,Theory,Historiographical analysis,Linguistic turn","Agency,Historiography,Historians,Experience,Historicism in literature,Historiography,Critical thinking,History,Vocation,History and criticism,Subjectivity,Theory,Historiography,Linguistic change",0.33,0.08,0.27,0.50,12.00
people and cities,learn about the people and cities that have emerged over thousands of years in china's ancient and complex society,cities and towns,"Urbanization,Social history,Social classes,China,Cities and towns,Population dynamics","Urbanization,Social history,Social classes,China,Cities and towns,Stable population model",1.00,0.17,0.39,0.47,6.00
expeditionary culture field guide romania,"""this guide is designed to help prepare you for deployment to culturally complex environments and successfully achieve mission objectives the fundamental information contained within will help you understand the culutral dimension of your assigned location and gain skills necessary for success""--p [2] of cover","cutural awareness; national characteristics, romanian","Culture,Military planning,Cultural intelligence,Human terrain,International relations.,Military operations,Foreign service,Field guides,Cross-cultural studies,Expeditionary forces,Romania,Cultural competence","Culture,Military planning,Cultural intelligence,Terrain vague,International relations,Operations other than war,Foreign service,Guides,Cross-cultural studies,Peacekeeping forces,Romania,Cultural competence",0.00,0.00,0.00,0.31,12.00
