Title,Abstract,True_LCSH,Predicted_LCSH,Replaced_Predictions,recall,precision,ndcg,semantic_similarity,num_predicted_labels
"space, humans, and farts","did you know that the planet jupiter has at least fifty moons? did you know that albert einstein's brain was stolen after he died?! learn more weird-but-true science facts with aj and andrea from dan gutman's my weird school series whether you're a kid who wants to learn more about science or simply someone who wants to know how many million times the earth could fit into the sun, this is the book for you!",curiosities and wonders; science,"astronomy, planets, moons, solar system","Astronomy,Planets,Moon,Solar system",0.00,0.00,0.00,0.44,4.00
collecting the past : british collectors and their collections from the 18th to the 20th centuries,"""today's libraries and museums are heavily indebted to the passions and obsessions of numerous individual collectors who devoted their lives to amassing collections of books, manuscripts, artworks, and other culturally significant objects collecting the past brings together the latest research on a wide range of significant british collectors from the eighteenth to the twentieth centuries, including hans sloane, sarah sophia banks, thomas phillipps, sydney cockerell, j p morgan jnr, alfred chester beatty and r e hart contributors to the volume examine the phenomenon of collecting in a variety of settings and across a range of different materials considering the aims and motives that led these collectors to assemble such remarkable collections, the book also examines the history of these collections after the collector's death particular attention is given to the often complicated relationship between collectors and the public institutions that subsequently came to house their collections situated within the framework of cultural collecting more generally, this book offers an authoritative series of essays on key collectors collecting the past should be most interesting to researchers, academics and postgraduate students engaged in the study of museum studies, book history, manuscript studies, museum history, library history and the history of collecting professionals in libraries, museums and galleries will also find the volume of great interest""-- provided by publisher",collectors and collecting,"Collectors and collecting, Great Britain, History, 18th century, 19th century, 20th century","Collectors and collecting,Great Britain,History,18th century,19th century,20th century",1.00,0.17,0.36,0.34,6.00
museums in a digital culture : how art and heritage become meaningful,"""the experience of engaging with art and history has been utterly transformed by information and communications technology in recent decades we now have virtual, mediated access to countless heritage collections and assemblages of artworks, which we intuitively browse and navigate in a way that wasn't possible until very recently this collection of essays takes up the question of the cultural meaning of the information and communications technology that makes these new engagements possible, asking questions like: how should we theorise the sensory experience of art and heritage? what does information technology mean for the authority and ownership of heritage?""--provided by publisher",communication in museums; museums,"museums, art, cultural heritage, information technology, digital culture","Museums,Art,Heritage tourism,Information technology,Digital media",0.50,0.20,0.50,0.54,5.00
creativity in museum practice,"""with this book museum professionals can learn how to unleash creative potential throughout their institution drawing from a wide range of research on creativity as well as insights from today's most creative museum leaders, the authors present at a set of practical principles about how museum workers at any level--not just those in ""creative positions""--can make a place for creativity in their daily practice replete with creativity exercises and stories from the field, they guide readers in developing an internal culture of creative learning, as well as delivering increased value to museum audiences""-- provided by publisher",museum techniques; creative thinking,"museums, creativity, museum techniques","Museums,Creative thinking,Museum techniques",1.00,0.67,0.69,0.93,3.00
feminist in a software lab : difference + design,"tara mcpherson asks what might it mean to design--from conception--digital tools and applications that emerge from contextual concerns of cultural theory and from a feminist concern for difference this question leads to the vectors lab, which for a dozen years has experimented with digital scholarship at the intersection of theory and praxis-- provided by publisher",digital humanities; computer software; scholarly electronic publishing; software engineering; computers and women,"feminist theory, software design, digital scholarship","Feminist theory,Software patterns,Open scholarship",0.00,0.00,0.00,0.46,3.00
the etymologies of isidore of seville,"""this work is the first complete english translation of the latin etymologies of isidore, bishop of seville (c560-636) isidore compiled the work between c615 and the early 630s and it takes the form of an encyclopedia, arranged by subject matter it contains much lore of the late classical world beginning with the seven liberal arts, including rhetoric, and touches on thousands of topics ranging from the names of god, the terminology of the law, the technologies of fabrics, ships and agriculture to the names of cities and rivers, the theatrical arts, and cooking utensils isidore provides etymologies for most of the terms he explains, finding in the causes of words the underlying key to their meaning this book offers a highly readable translation of the twenty books of the etymologies, one of the most widely known texts for a thousand years from isidore's time""--provided by publisher","encyclopedias and dictionaries; latin language; didactic literature, latin (medieval and modern)","Isidore, Seville, Etymology, Latin literature, Encyclopedias","Odoridō,Seville,Etymology,Latin literature,Encyclopedias",0.00,0.00,0.00,0.54,5.00
dk online encyclopedia,"there is a wealth of incredible facts and images online if only we know where to look this book combines the best of a traditional encyclopedia with a dedicated web site created by google, the world's leading search engine together they guide the reader to the most amazing sites the web has to offer",children's encyclopedias and dictionaries; computer network resources; homework,"Encyclopedias, Online databases, Google, Search engines","Encyclopedias,Online databases,Search engines,Search engines",0.00,0.00,0.00,0.50,3.00
childcraft : the how and why library,"presents illustrated articles, stories, and poems, grouped thematically in fifteen volumes",children's encyclopedias and dictionaries,Children's encyclopedias,Children's encyclopedias and dictionaries,1.00,1.00,1.00,1.00,1.00
"frightlopedia : an encyclopedia of everything scary, creepy, and spine-chilling, from arachnids to zombies","""discover borneo's gomantong cave, where literally millions of bats, cockroaches, spiders, and rats coexist--in pitch darkness learn about mythical creatures like the mongolian death worm--and scarily real ones like killer bees, which were accidentally created by scientists in the 1950s visit new orleans' beauregard-keyes house, where civil war soldiers are said to still clash in the front hall plus ghost stories from around the world, a cross-cultural study of vampires, and how to transform into a zombie with makeup each entry includes a ""fright meter"" measurement from 1 to 3, because while being scared is fun, everyone has their limit""--amazon website",curiosities and wonders; ghost stories,"Monsters, Supernatural, Encyclopedias","Monsters,Supernatural,Encyclopedias",0.00,0.00,0.00,0.46,3.00
facts & records : amazing achievements,"an illustrated compendium of facts about human achievements, from the development of the alphabet to the latest space probes",curiosities and wonders,"achievements, records, human accomplishments","Counting,Records,Personality and history",0.00,0.00,0.00,0.15,3.00
"back to school : 1,001 facts you learned in high school","""in this book, you'll get a quick and comprehensive refresher course in all the basic fields of knowledge you studied in high school''-- back cover",education; encyclopedias and dictionaries,"high school education, knowledge, study skills","Education (Middle school),Knowledge and learning,Study skills",0.00,0.00,0.00,0.64,3.00
it can't be true!,"""[this book] brings unbelievable facts to life with the help of 200 jaw-dropping visual comparisons across a wide range of subjects from outer space to the human body""--front jacket flap",curiosities and wonders; engineering,Curiosities and wonders,Curiosities and wonders,0.50,1.00,1.00,1.00,1.00
the objects of experience : transforming visitor-object encounters in museums,"""what if museums could harness the emotional and intellectual connections people have to personal and everyday objects to create richer visitor experiences? in this book, elizabeth wood and kiersten latham present the object knowledge framework, a tool for using objects to connect museum visitors to themselves, to others, and to their world they discuss the key concepts underpinning our lived experience of objects and how museums can learn from them then they walk readers through concrete methods for transforming visitor-object experiences, including exercises and strategies for teams developing exhibit themes, messages, and content, and participatory experiences""-- provided by publisher",museum exhibits; museum techniques,"museums, museum visitors, museum exhibits","Museums,Museum visitors,Museum exhibits",0.50,0.33,0.50,0.90,3.00
one million things : a visual encyclopedia,"featuring gorgeous photographs that illustrate and educate, this visual encyclopedia is jam-packed with thousands and thousands of images that bring more than one million things to light",children's encyclopedias and dictionaries; curiosities and wonders; space; science; technology; art,Encyclopedias,Encyclopedias,0.00,0.00,0.00,0.72,1.00
"famous first facts : a record of first happenings, discoveries, and inventions in american history","for more than half a century, famous first facts has earned the accolades of reviewers and a place on library reference shelves nationwide this new edition of the reference classic is updated and expanded with new entries reflecting the latest developments and discoveries, and newly organized for better access to information - amazon",encyclopedias and dictionaries,"United States--History, Inventions, Discoveries in science","1870-,Inventions,Discoveries in science",0.00,0.00,0.00,0.23,3.00
oxford american children's encyclopedia,presents alphabetically arranged articles in nine volumes covering a wide range of human knowledge,children's encyclopedias and dictionaries,"Encyclopedias, Children's encyclopedias","Encyclopedias,Children's encyclopedias and dictionaries",1.00,0.50,0.63,0.86,2.00
crop circles,"""engaging images accompany information about crop circles the combination of high-interest subject matter and light text is intended for students in grades 3 through 7""--provided by publisher",crop circles,Crop circles,Crop circles,1.00,1.00,1.00,1.00,1.00
museum studies : an anthology of contexts,"""retaining the multidisciplinary focus of the critically acclaimed first edition, the new edition of museum studies: an anthology of contexts presents a comprehensive collection of approaches to museums and their relation to history, culture, and philosophy striking a careful balance between contemporary analysis and historical documentation, the new edition features primary and secondary texts spanning the course of some 200 years of museum history that reveal a wealth of insights into culture and society among the developments in twenty-first century museum scholarship featured in this new edition are issues of inclusion and exclusion, repatriation, indigenous models of collection and display, museums in an age of globalization, visitor studies, and interactive technologies a new section on relationships, interactions, and responsibilities focuses on the intersection of memory, history, ethics, and affect within the museum and beyond its walls with its expansive nature and multidisciplinary approach, museum studies solidifies its reputation as the primary resource for this important academic discipline""-- provided by publisher",museums; museums; museums; museums,"museum studies, museums, museum techniques, museology","Museum studies,Museums,Museum techniques,Museum studies",1.00,0.33,1.00,0.89,3.00
the rise of the must-see exhibition : blockbusters in australian museums and galleries,"""blockbuster exhibitions are ubiquitous fixtures in the cultural calendars of major museums and galleries worldwide the rise of the must-see exhibition charts their ascent across a diverse array of museums and galleries the book positions these exhibits in the australian cultural context, demonstrating how policy developments and historical precedents have created a space for their current domination drawing on historical evidence, policy documents and contemporary debates, the book offers a complex analysis of the aims and motivations of blockbuster exhibitions its chronological approach reveals a genealogy of exhibits from the mid-nineteenth century onward to identify precursors to current practice this provides a foundation upon which to examine the unprecedented growth of blockbusters in the latter half of the twentieth century the examples discussed offer a unique opportunity to study how institutional growth, political support, individual champions and audience interest have influenced the development of large-scale temporary exhibitions the rise of the must-see exhibition considers blockbusters as an international phenomenon and as such is highly relevant to practitioners working across the cultural sector around the world the book will also appeal to academics and students engaged in the study of museums and galleries, arts management and curating, as well as those interested in the history of exhibitions and cultural policy""-- provided by publisher",museums; museum exhibits,"museum exhibitions, museums and galleries, cultural policy, arts management, exhibitions, museum studies","Museum exhibits,Museums and Galleries Month,Cultural policy,Arts administrators,Exhibitions,Museum studies",0.50,0.17,1.00,0.69,6.00
curatorial challenges : interdisciplinary perspectives on contemporary curating,"""curatorial challenges investigates the challenges faced by curators in contemporary society and explores which practices, ways of thinking, and types of knowledge production curating exhibitions could challenge bringing together international curators and researchers from the fields of art and cultural history, it provides new research and perspectives on the curatorial process and bridges the traditional gap between theoretical and academic museum studies and museum practices it should be of great interest to academics, researchers, and postgraduate students engaged in the study of curatorial practice, museum studies, the making of exhibitions, museum communication, and art history""-- provided by publisher",museums; museum exhibits,"museum curators, museum exhibits, art museums, museum techniques, museum studies","Museum curators,Museum exhibits,Art museums,Museum techniques,Museum studies",0.50,0.20,1.00,0.89,5.00
grolier student encyclopedia,an encyclopedia of brief articles intended for use by elementary school students,children's encyclopedias and dictionaries,"Encyclopedias, Elementary school students","Encyclopedias,School children",0.00,0.00,0.00,0.56,2.00
the book of lists for teens,"presents more than 300 lists about everything from music videos to video games, internet to extreme sports, and self-image to social activism","handbooks, vade-mecums, etc","Teenagers, Lists","Teenagers,Lists",0.00,0.00,0.00,0.23,2.00
exhibiting nation : multicultural nationalism (and its limits) in canada's museums,"""canada's brand of nationalism celebrates diversity--so long as it doesn't challenge the unity, authority, or legitimacy of the state caitlin gordon-walker explores this tension between unity and diversity in three nationally recognized museums, institutions that must make judgments about what counts as ""too different"" in order to celebrate who we are as a people and nation through exhibits, programs, and design although the contradictions that lie at the heart of multicultural nationalism have the potential to constrain political engagement and dialogue, the sensory feasts on display in canada's museums provide a space for citizens to both question and renegotiate the limits of their national vision""-- provided by publisher",museum exhibits; museum exhibits; nationalism; multiculturalism,"nationalism, multiculturalism, museums, Canada","Nationalism,Multiculturalism,Museums,Canada",0.67,0.50,0.65,0.80,4.00
"the exhibitionist : living museums, loving museums","""this is a book about museums over the last half century it is about my work in these institutions, as 'the exhibitionist' of the title, but also my experiences as a director and a student, as an archaeologist and a techie, as a curator and a collector it roughly follows my career on its zigzagging course from new york to israel and back again along the way it also recounts the efforts of my able colleagues, from the deep ranks of the metropolitan museum of art to the mayor of jerusalem, from university scholars to jacqueline kennedy onassis""--introduction",museum curators; museums,"museums, museum exhibits","Museums,Museum exhibits",0.50,0.50,1.00,0.93,2.00
100 places you will never visit : the world's most secret locations,"ever wondered what it takes to get into fort knox? fancied a peek inside the coca-cola safety deposit box? the world is full of secret places that we either don't know about, or couldn't visit even if we wanted to now you can glimpse the tora bora caves in afghanistan, tour the vatican archives, or see the chapel of the ark this fascinating guide book takes a look at 100 places around the world that are either so hard to reach, so closely guarded, or so secret that they are virtually impossible to visit any other way",travel; secrecy,"secret places, travel, restricted areas","Hiding places,Travel,Areas",0.50,0.33,1.00,0.58,3.00
exhibiting atrocity : memorial museums and the politics of past violence,"""today, nearly any group or nation with violence in its past has constructed or is planning a memorial museum as a mechanism for confronting past trauma, often together with truth commissions, trials, and/or other symbolic or material reparations exhibiting atrocity documents the emergence of the memorial museum as a new cultural form of commemoration, and analyzes its use in efforts to come to terms with past political violence and to promote democracy and human rights through a global comparative approach, amy sodaro uses in-depth case studies of five exemplary memorial museums that commemorate a range of violent pasts and allow for a chronological and global examination of the trend: the us holocaust memorial museum in washington, dc; the house of terror in budapest; the kigali genocide memorial centre in rwanda; the museum of memory and human rights in santiago, chile; and the national september 11 memorial museum in new york together, these case studies illustrate the historical emergence and global spread of the memorial museum and show how this new cultural form of commemoration is intended to be used in contemporary societies around the world""-- provided by publisher",memorialization; political atrocities; genocide; crimes against humanity; collective memory; historical museums,"memorial museums, violence, past, cultural memory, human rights, democracy, comparative studies, genocide, history museums","Historical museums,Violence,Time,Cultural awareness,Human rights,Democracy,Comparative studies,Genocide,Historical museums",0.33,0.25,0.46,0.55,8.00
the world book encyclopedia,"""a 22-volume, highly illustrated, a-z general encyclopedia for all ages, featuring sections on how to use world book, other research aids, pronunciation key, a student guide to better writing, speaking, and research skills, and comprehensive index""-- provided by publisher",encyclopedias and dictionaries,encyclopedias,Encyclopedias,0.00,0.00,0.00,0.81,1.00
learning from museums,"""in the second edition of their 2000 book, john h falk and lynn d dierking offer an updated version of the contextual model of learning, as well as present the latest advances in museum research, theory, and practice in order to provide readers an inside view of how and why people learn from their museum experiences""-- provided by publisher",museums; museum visitors; museum exhibits; experiential learning; active learning; non-formal education,"museum education, museums, informal education","Schools of museum studies,Museums,Alternative education",0.17,0.33,0.63,0.78,3.00
my encyclopedia of very important things,"presents facts about such topics as geography, biology, and culture-- source other than library of congress",curiosities and wonders; children's encyclopedias and dictionaries,This source is not specific enough to predict relevant LCSH labels.,Derivatives (Chemicals),0.00,0.00,0.00,0.10,1.00
