title,abstract,lcsh_subject_headings,predicted_LCSH,Replaced_Predictions,recall,precision,ndcg,semantic_similarity,num_predicted_labels
mental-floss : the book : the greatest lists in the history of listory,"for ten years, the knowledge seekers at mental-floss have been hunting and trapping the world's rarest facts, locking them into captivating lists for the world to admire this book is packed with a decade's worth of the smartest, quirkiest stories around",lists,"Humor,Information resources,Facts,Trivia,Intellectual games,General knowledge,Amusements,Reference books,Curiosities and wonders,Popular culture","Humor,Information resources,Claims,Trivia,Intellectual cooperation,Knowledge, Theory of,Amusements,Reference books,Curiosities and wonders,Popular culture",0.00,0.00,0.00,0.24,10.00
snapshots of museum experience : understanding child visitors through photography,"""children are one of the major audiences for museums, but their visits are often seen solely from the point of view of museum learning in snapshots of museum experience, will buckingham draws upon elee kirk's research amongst child visitors to the oxford university museum of natural history, to take a different approach using a method of photo-elicitation with four- and five-year-old child visitors to the museum, the book investigates children's experience of the museum, and in the process undermines many of our assumptions about the interests, needs and demands of child museum visitors drawing together the fields of museum studies and childhood studies, the book considers children as active creators of the museum visit it investigates the way that children navigate and take control of the physical and social spaces of the museum, finding their own idiosyncratic pathways through these spaces it also explores how elements of the museum 'light up', becoming salient to the child visitor finally, it investigates how children make sense through intellectually and imaginatively engaging with these elements of the museum visit snapshots of museum experiences gives a unique insight into the sheer diversity of children's museum experiences and discusses how museums might cater more successfully to the needs of their child visitors as such, it should be of great interest to academics, researchers and students in the fields of museum studies, visitor studies and childhood studies it should also be essential reading for museum educators and exhibition designers""-- provided by publisher",museums and children,"Child development,Childhood studies,Children,Museum visitors,Museum visitor studies,Early childhood education,Museum education,Photo elicitation research,Museums,Children's experiences","Child development,Internet and children,Children,Museum visitors,Museum visitors,Early childhood education,Schools of museum studies,Instant photography,Museums,Experience in children",0.00,0.00,0.00,0.53,10.00
nomenclature 30 for museum cataloging,"""nomenclature 30 is a much-expanded edition of robert g chenhall's system for classifying man-made objects, originally published in 1978 the chenhall system is the standard cataloging tool for thousands of museums and historical organizations across the united states and canada in this third edition, three new hierarchical levels of terms allow for more precise definitions of objects and their functions every classification and object term has been reviewed and revised as needed by a professional task force appointed by the american association for state and local history""--publisher's description",museum registration methods,"Artifact documentation,Object classification,Artifact classification systems,Museum cataloging,Classification systems for artifacts,Museum collections classification,Museum collections management,Artifact classification,Collections cataloging,Material culture classification systems","Preservation metadata,Classifiers,Visualization,Museum labels,Digital preservation,Museum labels,Museum docents,Visualization,Catalogs and collections,Material culture",0.00,0.00,0.00,0.41,10.00
the digital humanities : a primer for students and scholars,"""the digital humanities is a comprehensive introduction and practical guide to how humanists use the digital to conduct research, organize materials, analyze, and publish findings it summarizes the turn toward the digital that is reinventing every aspect of the humanities among scholars, libraries, publishers, administrators, and the public beginning with some definitions and a brief historical survey of the humanities, the book examines how humanists work, what they study, and how humanists and their research have been impacted by the digital and how, in turn, they shape it it surveys digital humanities tools and their functions, the digital humanists' environments, and the outcomes and reception of their work the book pays particular attention to both theoretical underpinnings and practical considerations for embarking on digital humanities projects it places the digital humanities firmly within the historical traditions of the humanities and in the contexts of current academic and scholarly life""-- provided by publisher",digital humanities; humanities; humanities; humanities; humanists; digital media; digital communications; information storage and retrieval systems,"Information technology,Humanities,Digital scholarship,Scholarly communication,Humanism,Humanistic computing,Research methodology,Digital humanities,Academic publishing","Information technology,Humanities,Open scholarship,Scholarly publishing,Humanism,Human computation,Methodology,Digital humanities,Scholarly publishing",0.33,0.22,0.92,0.64,9.00
signs & symbols,"from simple shapes and colors to gods, mythical beasts, sacred rituals, and global branding, over 2,000 signs and symbols are explained through text, illustrations, and photography grouped thematically and comprehensively cross-referenced includes the physical world, animals, plants, humans, colors, shapes, patterns, numbers, picture writing, alphabets, international signs, professional signs, brands and logos, heraldic emblems, national flags, sign languages and signals, and symbolic gestures",signs and symbols; signs and symbols; signs and symbols,"Communication,Anthropology,Iconography,Visual communication,Symbolism,Visual Communication,Cultural Iconography,Graphic Design,Semiotics","Communication,Anthropology,Iconography,Visual communication,Symbolism,Visual communication,Multiculturalism in art,Graphic methods,Semiotics",0.00,0.00,0.00,0.31,8.00
the digital humanities and the digital modern,"this book provides new critical and methodological approaches to digital humanities, intended to guide technical development as well as critical analysis informed by the history of technology and culture and new perspectives on modernity, smithies grounds his claims in the engineered nature of computing devices and their complex entanglement with our communities, our scholarly traditions, and our sense of self the distorting mentalité of the digital modern informs our attitudes to computers and computationally intensive research, leading scholars to reject articulations of meaning that admit the interdependence of humans and the complex socio-technological systems we are embedded in by framing digital humanities with the digital modern, researchers can rebuild our relationship to technical development, and seek perspectives that unite practical and critical activity this requires close attention to the cyber-infrastructures that inform our research, the software-intensive methods that are producing new knowledge, and the ethical issues implicit in the production of digital humanities tools and methods the book will be of interest to anyone interested in the intersection of technology with humanities research, and the future of digital humanities -- from publisher's website",digital humanities,"Modernity Studies,Critical Theory,Digital Culture,Computer Science,Information Technology,Digital Humanities,Human","Twenty-first century,Critical theory,Digital media,Computer science,Information technology,Digital humanities,Persons",1.00,0.14,0.33,0.46,7.00
"space, humans, and farts","did you know that the planet jupiter has at least fifty moons? did you know that albert einstein's brain was stolen after he died?! learn more weird-but-true science facts with aj and andrea from dan gutman's my weird school series whether you're a kid who wants to learn more about science or simply someone who wants to know how many million times the earth could fit into the sun, this is the book for you!",curiosities and wonders; science,"Science education,Science and humor,Humor,Elementary education,Juvenile literature,Science fiction,Space and astronomy,Astronomy,Space exploration,Juvenile fiction,Physics","Science teachers,Analogy in science education,Humor,Education (Elementary),Juvenile literature,Science fiction,Space astronomy,Astronomy,Exploration,Juvenile fiction,Physics",0.00,0.00,0.00,0.50,11.00
collecting the past : british collectors and their collections from the 18th to the 20th centuries,"""today's libraries and museums are heavily indebted to the passions and obsessions of numerous individual collectors who devoted their lives to amassing collections of books, manuscripts, artworks, and other culturally significant objects collecting the past brings together the latest research on a wide range of significant british collectors from the eighteenth to the twentieth centuries, including hans sloane, sarah sophia banks, thomas phillipps, sydney cockerell, j p morgan jnr, alfred chester beatty and r e hart contributors to the volume examine the phenomenon of collecting in a variety of settings and across a range of different materials considering the aims and motives that led these collectors to assemble such remarkable collections, the book also examines the history of these collections after the collector's death particular attention is given to the often complicated relationship between collectors and the public institutions that subsequently came to house their collections situated within the framework of cultural collecting more generally, this book offers an authoritative series of essays on key collectors collecting the past should be most interesting to researchers, academics and postgraduate students engaged in the study of museum studies, book history, manuscript studies, museum history, library history and the history of collecting professionals in libraries, museums and galleries will also find the volume of great interest""-- provided by publisher",collectors and collecting,"Manuscripts,Art,Collectors and collecting,Museums,Book collecting,Historians,Great Britain,Cultural property,Museum collections,Library science","Manuscripts,Art,Collectors and collecting,Museums,Book collecting,Historians,Great Britain,Cultural property,Museum archives,Library science",1.00,0.10,0.29,0.46,10.00
museums in a digital culture : how art and heritage become meaningful,"""the experience of engaging with art and history has been utterly transformed by information and communications technology in recent decades we now have virtual, mediated access to countless heritage collections and assemblages of artworks, which we intuitively browse and navigate in a way that wasn't possible until very recently this collection of essays takes up the question of the cultural meaning of the information and communications technology that makes these new engagements possible, asking questions like: how should we theorise the sensory experience of art and heritage? what does information technology mean for the authority and ownership of heritage?""--provided by publisher",communication in museums; museums,"Digital curation,Digital preservation,Digital art,Heritage preservation,Virtual museums,Museum education,Art and technology,Cultural heritage,Museum experience,Museums,Information technology and museology,Digital humanities,Art museums,Cultural heritage and technology,Virtual reality in art museums","Data curation,Digital preservation,Copy art,Historic preservation,Virtual museums,Schools of museum studies,Art and technology,Heritage tourism,Museum cooperation,Museums,Museum information networks,Digital humanities,Art museums,Heritage tourism,Virtual museum exhibits",0.50,0.07,0.43,0.62,15.00
creativity in museum practice,"""with this book museum professionals can learn how to unleash creative potential throughout their institution drawing from a wide range of research on creativity as well as insights from today's most creative museum leaders, the authors present at a set of practical principles about how museum workers at any level--not just those in ""creative positions""--can make a place for creativity in their daily practice replete with creativity exercises and stories from the field, they guide readers in developing an internal culture of creative learning, as well as delivering increased value to museum audiences""-- provided by publisher",museum techniques; creative thinking,"Museum management,Organizational learning,Change management in museums,Creative thinking in museums,Museum education,Museum administration,Museums,Innovation in museums,Museum audience participation,Museum staff","Museum cooperation,Organizational learning,Museum cooperation,Communication in museums,Schools of museum studies,Museum cooperation,Museums,Museum studies,Communication in museums,Museum registrars",0.00,0.00,0.00,0.68,10.00
feminist in a software lab : difference + design,"tara mcpherson asks what might it mean to design--from conception--digital tools and applications that emerge from contextual concerns of cultural theory and from a feminist concern for difference this question leads to the vectors lab, which for a dozen years has experimented with digital scholarship at the intersection of theory and praxis-- provided by publisher",digital humanities; computer software; scholarly electronic publishing; software engineering; computers and women,"Feminist theory,Computer Science,Critical theory,Design research,Digital scholarship,Intersectional feminism,Human,Digital humanities,Intersectionality,Participatory design,Human computer interaction","Feminist theory,Computer science,Critical theory,Work design,Open scholarship,Feminism,Persons,Digital humanities,Ambiguity,Work design,Human-computer interaction",0.20,0.09,0.36,0.48,11.00
the etymologies of isidore of seville,"""this work is the first complete english translation of the latin etymologies of isidore, bishop of seville (c560-636) isidore compiled the work between c615 and the early 630s and it takes the form of an encyclopedia, arranged by subject matter it contains much lore of the late classical world beginning with the seven liberal arts, including rhetoric, and touches on thousands of topics ranging from the names of god, the terminology of the law, the technologies of fabrics, ships and agriculture to the names of cities and rivers, the theatrical arts, and cooking utensils isidore provides etymologies for most of the terms he explains, finding in the causes of words the underlying key to their meaning this book offers a highly readable translation of the twenty books of the etymologies, one of the most widely known texts for a thousand years from isidore's time""--provided by publisher","encyclopedias and dictionaries; latin language; didactic literature, latin (medieval and modern)","Latin literature,Education,Medieval encyclopedias,Medieval periods,Medieval learning and scholarship,History of linguistics,Latin language,Early Christian literature,Etymology,Latin,Philosophy","Latin literature,Education,Pages, Medieval,Middle Ages,Scholars, Medieval,Historical linguistics,Latin language,Christian literature, Early,Etymology,Latin,Philosophy",0.25,0.09,0.63,0.57,11.00
dk online encyclopedia,"there is a wealth of incredible facts and images online if only we know where to look this book combines the best of a traditional encyclopedia with a dedicated web site created by google, the world's leading search engine together they guide the reader to the most amazing sites the web has to offer",children's encyclopedias and dictionaries; computer network resources; homework,"World Wide Web,Digital libraries,Information resources,Google,Web sites,Internet,Online information services,Encyclopedias,Computer networks","World Wide Web,Digital libraries,Information resources,Search engines,Web sites,Internet,Online information services,Encyclopedias,Computer networks",0.00,0.00,0.00,0.49,9.00
childcraft : the how and why library,"presents illustrated articles, stories, and poems, grouped thematically in fifteen volumes",children's encyclopedias and dictionaries,"Children's encyclopedias,Children's educational literature,Children's literature,Illustrated educational books,Educational storytelling,Juvenile educational resources,Juvenile literature,Children's stories,Educational comics,Illustrated children's books,Educational literature,Children's educational comics","Children's encyclopedias and dictionaries,Children's literature,Children's literature,Illustrated children's books,Storytelling in education,Open educational resources,Juvenile literature,Children's stories,Comic books and teenagers,Illustrated children's books,Educational literature,Comic books and teenagers",0.00,0.00,0.00,0.48,12.00
"frightlopedia : an encyclopedia of everything scary, creepy, and spine-chilling, from arachnids to zombies","""discover borneo's gomantong cave, where literally millions of bats, cockroaches, spiders, and rats coexist--in pitch darkness learn about mythical creatures like the mongolian death worm--and scarily real ones like killer bees, which were accidentally created by scientists in the 1950s visit new orleans' beauregard-keyes house, where civil war soldiers are said to still clash in the front hall plus ghost stories from around the world, a cross-cultural study of vampires, and how to transform into a zombie with makeup each entry includes a ""fright meter"" measurement from 1 to 3, because while being scared is fun, everyone has their limit""--amazon website",curiosities and wonders; ghost stories,"Vampires,Zombies,Animals,Cockroaches,Paranormal phenomena,Horror fiction,Ghosts,Horror,Mythical creatures,Creatures,Insects,Spiders,Arachnids,Monsters (Legendary creatures),Bees,Supernatural,Parasites,Folklore,Ghost stories,Supernatural beings,Bats,Folklore and mythology,Horror movies,Cryptids,Rats,Caves","Vampires,Zombies,Animals,Cockroaches,Near-death experiences,Horror films,Ghosts,Horror,Animals, Mythical,Animals,Insects,Spiders,Aradidae,Nightmare Creatures (Game),Bees,Supernatural,Parasites,Folklore,Ghost stories,Supernatural,Bats,Folklore and history,Horror films,Crypts,Rats,Caves",0.50,0.04,0.26,0.40,26.00
facts & records : amazing achievements,"an illustrated compendium of facts about human achievements, from the development of the alphabet to the latest space probes",curiosities and wonders,"Inventions,Science and technology,Spacecraft design,History of science and technology,Historical events,Human achievements,World records,Record,Records,Innovation,Human,Space exploration,Engineering feats,Achievements,Human spaceflight,Milestones in history","Inventions,Science,Space simulators,Discoveries in science,History of contemporary events,Questions and answers,World records,Records,Records,Efficiency,Persons,Exploration,Engineering mathematics,Counting,Manned space flight,Milestones",0.00,0.00,0.00,0.19,16.00
"back to school : 1,001 facts you learned in high school","""in this book, you'll get a quick and comprehensive refresher course in all the basic fields of knowledge you studied in high school''-- back cover",education; encyclopedias and dictionaries,"Education,High school,Study skills,Study Aids,Review,High School,General knowledge,Reference books,Study Guides,Academic Achievement","Education,High schools,Study skills,Aids and devices,Reviews,High schools,Knowledge, Theory of,Reference books,Study guides,Academic achievement",0.50,0.11,0.63,0.51,9.00
it can't be true!,"""[this book] brings unbelievable facts to life with the help of 200 jaw-dropping visual comparisons across a wide range of subjects from outer space to the human body""--front jacket flap",curiosities and wonders; engineering,"Educational technology,Science education,Education,Comparative biology,Educational visual aids,Science,Visual learning,Human body,Unbelievable facts,Outer space,Informative graphics,Comparative physiology,Visual perception,Popular works,Comparative anatomy","Educational technology,Science teachers,Education,Population biology,Visual education,Science,Visual learning,Human body,Rumor,Outer space,Graphic methods,Physiology, Comparative,Visual perception,Popular works,Anatomy, Comparative",0.00,0.00,0.00,0.32,15.00
the objects of experience : transforming visitor-object encounters in museums,"""what if museums could harness the emotional and intellectual connections people have to personal and everyday objects to create richer visitor experiences? in this book, elizabeth wood and kiersten latham present the object knowledge framework, a tool for using objects to connect museum visitors to themselves, to others, and to their world they discuss the key concepts underpinning our lived experience of objects and how museums can learn from them then they walk readers through concrete methods for transforming visitor-object experiences, including exercises and strategies for teams developing exhibit themes, messages, and content, and participatory experiences""-- provided by publisher",museum exhibits; museum techniques,"Museum attendance,Museum visitors,Museum visitor studies,Museum education,Museum interpretation,Museum,Museum exhibits,Museums,Emotional experience in museums","Museum attendance,Museum visitors,Museum visitors,Schools of museum studies,Museum techniques,Museums,Museum exhibits,Museums,Communication in museums",0.50,0.11,0.43,0.81,9.00
one million things : a visual encyclopedia,"featuring gorgeous photographs that illustrate and educate, this visual encyclopedia is jam-packed with thousands and thousands of images that bring more than one million things to light",children's encyclopedias and dictionaries; curiosities and wonders; space; science; technology; art,"Educational resources,Education,Knowledge representation,Educational media,Information resources,Visual arts,Visual learning,Collection development,Information graphics,Photography,Encyclopedias,Reference works","Open educational resources,Education,Knowledge representation (Information theory),Media programs (Education),Information resources,Graphic arts,Visual learning,Collection development,Information visualization,Photography,Encyclopedias,Reference",0.00,0.00,0.00,0.45,12.00
